[2026-05-19 02:00:43] Initialized ContinuousLogger for representation_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-19 02:00:43] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-19 02:00:43] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-19 02:00:43] [CANDIDATE] task=representation phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-19 02:05:50] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=123 architecture=[1] train_loss=0.966693 val_loss=0.967003 best=0.967003 es=0/5
[2026-05-19 02:05:53] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=124 architecture=[1] train_loss=0.966348 val_loss=0.966687 best=0.966687 es=0/5
[2026-05-19 02:05:56] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=125 architecture=[1] train_loss=0.966040 val_loss=0.966356 best=0.966356 es=0/5
[2026-05-19 02:05:58] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=126 architecture=[1] train_loss=0.965714 val_loss=0.966152 best=0.966152 es=0/5
[2026-05-19 02:06:00] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=127 architecture=[1] train_loss=0.965356 val_loss=0.965874 best=0.965874 es=0/5
[2026-05-19 02:06:03] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=128 architecture=[1] train_loss=0.965005 val_loss=0.965492 best=0.965492 es=0/5
[2026-05-19 02:06:05] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=129 architecture=[1] train_loss=0.964717 val_loss=0.965279 best=0.965279 es=0/5
[2026-05-19 02:06:08] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=130 architecture=[1] train_loss=0.964428 val_loss=0.964940 best=0.964940 es=0/5
[2026-05-19 02:06:11] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=131 architecture=[1] train_loss=0.964150 val_loss=0.964554 best=0.964554 es=0/5
[2026-05-19 02:06:13] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=132 architecture=[1] train_loss=0.963800 val_loss=0.964281 best=0.964281 es=0/5
