[2026-05-16 23:01:18] Initialized ContinuousLogger for representation_bayes (Mode: bayes)
[2026-05-16 23:10:28] [representation][bayes][cand_000_d2_w4] epoch=136 train_loss=0.811223 val_loss=0.817182 best=0.817182 es=0/5
[2026-05-16 23:10:33] [representation][bayes][cand_000_d2_w4] epoch=137 train_loss=0.809998 val_loss=0.816292 best=0.816292 es=0/5
[2026-05-16 23:10:36] [representation][bayes][cand_000_d2_w4] epoch=138 train_loss=0.807502 val_loss=0.813337 best=0.813337 es=0/5
[2026-05-16 23:10:38] [representation][bayes][cand_000_d2_w4] epoch=139 train_loss=0.806011 val_loss=0.812545 best=0.812545 es=0/5
[2026-05-16 23:10:41] [representation][bayes][cand_000_d2_w4] epoch=140 train_loss=0.805141 val_loss=0.811725 best=0.811725 es=0/5
[2026-05-16 23:10:44] [representation][bayes][cand_000_d2_w4] epoch=141 train_loss=0.804530 val_loss=0.810873 best=0.810873 es=0/5
[2026-05-16 23:10:47] [representation][bayes][cand_000_d2_w4] epoch=142 train_loss=0.803624 val_loss=0.810567 best=0.810567 es=0/5
[2026-05-16 23:10:49] [representation][bayes][cand_000_d2_w4] epoch=143 train_loss=0.802714 val_loss=0.808340 best=0.808340 es=0/5
[2026-05-16 23:10:52] [representation][bayes][cand_000_d2_w4] epoch=144 train_loss=0.801015 val_loss=0.807557 best=0.807557 es=0/5
[2026-05-16 23:10:55] [representation][bayes][cand_000_d2_w4] epoch=145 train_loss=0.800711 val_loss=0.807292 best=0.807292 es=0/5
[2026-05-16 23:10:58] [representation][bayes][cand_000_d2_w4] epoch=146 train_loss=0.800294 val_loss=0.806808 best=0.806808 es=0/5
[2026-05-16 23:11:01] [representation][bayes][cand_000_d2_w4] epoch=147 train_loss=0.799831 val_loss=0.806245 best=0.806245 es=0/5
[2026-05-16 23:11:04] [representation][bayes][cand_000_d2_w4] epoch=148 train_loss=0.799452 val_loss=0.806509 best=0.806245 es=1/5
[2026-05-16 23:11:06] [representation][bayes][cand_000_d2_w4] epoch=149 train_loss=0.799240 val_loss=0.805783 best=0.805783 es=0/5
[2026-05-16 23:11:09] [representation][bayes][cand_000_d2_w4] epoch=150 train_loss=0.798573 val_loss=0.805362 best=0.805362 es=0/5
[2026-05-16 23:11:12] [representation][bayes][cand_000_d2_w4] epoch=151 train_loss=0.797784 val_loss=0.804443 best=0.804443 es=0/5
[2026-05-16 23:11:15] [representation][bayes][cand_000_d2_w4] epoch=152 train_loss=0.797445 val_loss=0.804317 best=0.804317 es=0/5
[2026-05-16 23:11:18] [representation][bayes][cand_000_d2_w4] epoch=153 train_loss=0.797372 val_loss=0.804212 best=0.804212 es=0/5
[2026-05-16 23:11:21] [representation][bayes][cand_000_d2_w4] epoch=154 train_loss=0.797325 val_loss=0.804345 best=0.804212 es=1/5
[2026-05-16 23:11:24] [representation][bayes][cand_000_d2_w4] epoch=155 train_loss=0.797579 val_loss=0.804076 best=0.804076 es=0/5
[2026-05-16 23:11:28] [representation][bayes][cand_000_d2_w4] epoch=156 train_loss=0.797452 val_loss=0.804104 best=0.804076 es=1/5
[2026-05-16 23:11:31] [representation][bayes][cand_000_d2_w4] epoch=157 train_loss=0.797376 val_loss=0.804036 best=0.804076 es=2/5
[2026-05-16 23:11:35] [representation][bayes][cand_000_d2_w4] epoch=158 train_loss=0.797243 val_loss=0.803901 best=0.803901 es=0/5
[2026-05-16 23:11:38] [representation][bayes][cand_000_d2_w4] epoch=159 train_loss=0.797174 val_loss=0.803897 best=0.803901 es=1/5
[2026-05-16 23:11:42] [representation][bayes][cand_000_d2_w4] epoch=160 train_loss=0.797173 val_loss=0.803903 best=0.803901 es=2/5
[2026-05-16 23:11:45] [representation][bayes][cand_000_d2_w4] epoch=161 train_loss=0.797162 val_loss=0.803937 best=0.803901 es=3/5
[2026-05-16 23:11:48] [representation][bayes][cand_000_d2_w4] epoch=162 train_loss=0.797106 val_loss=0.803912 best=0.803901 es=4/5
[2026-05-16 23:11:52] [representation][bayes][cand_000_d2_w4] epoch=163 train_loss=0.797135 val_loss=0.803825 best=0.803901 es=5/5
