[2025-12-15 20:18:27] Initialized ContinuousLogger for adp_resnet (Mode: width_only)
[2025-12-15 20:18:27] Logs: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_log.txt
[2025-12-15 20:18:27] CSV: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_stats.csv
[2025-12-15 20:18:27] [INITIAL TRAINING]
[2025-12-15 23:03:07]   Epoch 002/10000000000000000000 | train=0.9937 | val=0.9553 | best=0.9464 | ES=1/10
[2025-12-15 23:04:04]   Epoch 003/10000000000000000000 | train=0.9941 | val=0.9612 | best=0.9464 | ES=2/10
[2025-12-15 23:05:09]   Epoch 004/10000000000000000000 | train=0.9916 | val=0.9480 | best=0.9464 | ES=3/10
[2025-12-15 23:06:08]   Epoch 005/10000000000000000000 | train=0.9913 | val=0.9832 | best=0.9464 | ES=4/10
[2025-12-15 23:07:05]   Epoch 006/10000000000000000000 | train=0.9917 | val=0.9402 | best=0.9402 | ES=0/10
[2025-12-15 23:08:08]   Epoch 007/10000000000000000000 | train=0.9938 | val=0.9474 | best=0.9402 | ES=1/10
[2025-12-15 23:09:04]   Epoch 008/10000000000000000000 | train=0.9873 | val=0.9840 | best=0.9402 | ES=2/10
[2025-12-15 23:10:02]   Epoch 009/10000000000000000000 | train=0.9884 | val=0.9695 | best=0.9402 | ES=3/10
[2025-12-15 23:10:59]   Epoch 010/10000000000000000000 | train=0.9863 | val=0.9397 | best=0.9397 | ES=0/10
[2025-12-15 23:11:55]   Epoch 011/10000000000000000000 | train=0.9865 | val=0.9430 | best=0.9397 | ES=1/10
[2025-12-15 23:12:52]   Epoch 012/10000000000000000000 | train=0.9828 | val=0.9612 | best=0.9397 | ES=2/10
[2025-12-15 23:13:54]   Epoch 013/10000000000000000000 | train=0.9863 | val=0.9652 | best=0.9397 | ES=3/10
[2025-12-15 23:14:53]   Epoch 014/10000000000000000000 | train=0.9818 | val=0.9452 | best=0.9397 | ES=4/10
[2025-12-15 23:15:48]   Epoch 015/10000000000000000000 | train=0.9801 | val=0.9657 | best=0.9397 | ES=5/10
[2025-12-15 23:16:44]   Epoch 016/10000000000000000000 | train=0.9810 | val=0.9575 | best=0.9397 | ES=6/10
[2025-12-15 23:17:40]   Epoch 017/10000000000000000000 | train=0.9820 | val=0.9362 | best=0.9362 | ES=0/10
[2025-12-15 23:18:37]   Epoch 018/10000000000000000000 | train=0.9854 | val=0.9327 | best=0.9327 | ES=0/10
[2025-12-15 23:19:35]   Epoch 019/10000000000000000000 | train=0.9799 | val=0.9399 | best=0.9327 | ES=1/10
[2025-12-15 23:20:32]   Epoch 020/10000000000000000000 | train=0.9784 | val=0.9345 | best=0.9327 | ES=2/10
[2025-12-15 23:21:30]   Epoch 021/10000000000000000000 | train=0.9785 | val=0.9514 | best=0.9327 | ES=3/10
[2025-12-15 23:22:29]   Epoch 022/10000000000000000000 | train=0.9748 | val=0.9589 | best=0.9327 | ES=4/10
[2025-12-15 23:23:33]   Epoch 023/10000000000000000000 | train=0.9768 | val=0.9697 | best=0.9327 | ES=5/10
[2025-12-15 23:24:32]   Epoch 024/10000000000000000000 | train=0.9774 | val=0.9278 | best=0.9278 | ES=0/10
[2025-12-15 23:25:30]   Epoch 025/10000000000000000000 | train=0.9776 | val=0.9810 | best=0.9278 | ES=1/10
[2025-12-15 23:26:28]   Epoch 026/10000000000000000000 | train=0.9818 | val=1.0075 | best=0.9278 | ES=2/10
[2025-12-15 23:27:22]   Epoch 027/10000000000000000000 | train=0.9747 | val=0.9414 | best=0.9278 | ES=3/10
[2025-12-15 23:28:18]   Epoch 028/10000000000000000000 | train=0.9777 | val=0.9611 | best=0.9278 | ES=4/10
[2025-12-15 23:29:16]   Epoch 029/10000000000000000000 | train=0.9747 | val=0.9305 | best=0.9278 | ES=5/10
[2025-12-15 23:30:23]   Epoch 030/10000000000000000000 | train=0.9734 | val=0.9403 | best=0.9278 | ES=6/10
[2025-12-15 23:31:25]   Epoch 031/10000000000000000000 | train=0.9787 | val=0.9351 | best=0.9278 | ES=7/10
[2025-12-15 23:32:20]   Epoch 032/10000000000000000000 | train=0.9727 | val=0.9301 | best=0.9278 | ES=8/10
[2025-12-15 23:33:22]   Epoch 033/10000000000000000000 | train=0.9690 | val=0.9419 | best=0.9278 | ES=9/10
[2025-12-15 23:34:21]   Epoch 034/10000000000000000000 | train=0.9745 | val=0.9385 | best=0.9278 | ES=10/10
[2025-12-15 23:34:21] [WIDTH OPT] ✓ IMPROVEMENT: New best: 0.927796
[2025-12-15 23:35:26]   Epoch 001/10000000000000000000 | train=0.9704 | val=0.9314 | best=0.9314 | ES=0/10
[2025-12-15 23:36:25]   Epoch 002/10000000000000000000 | train=0.9725 | val=0.9297 | best=0.9297 | ES=0/10
[2025-12-15 23:37:31]   Epoch 003/10000000000000000000 | train=0.9702 | val=0.9271 | best=0.9271 | ES=0/10
[2025-12-15 23:38:37]   Epoch 004/10000000000000000000 | train=0.9700 | val=0.9556 | best=0.9271 | ES=1/10
[2025-12-15 23:39:43]   Epoch 005/10000000000000000000 | train=0.9668 | val=0.9321 | best=0.9271 | ES=2/10
[2025-12-15 23:40:50]   Epoch 006/10000000000000000000 | train=0.9656 | val=0.9222 | best=0.9222 | ES=0/10
[2025-12-15 23:41:58]   Epoch 007/10000000000000000000 | train=0.9694 | val=0.9485 | best=0.9222 | ES=1/10
[2025-12-15 23:42:53]   Epoch 008/10000000000000000000 | train=0.9729 | val=0.9267 | best=0.9222 | ES=2/10
[2025-12-15 23:43:56]   Epoch 009/10000000000000000000 | train=0.9699 | val=0.9645 | best=0.9222 | ES=3/10
[2025-12-15 23:44:55]   Epoch 010/10000000000000000000 | train=0.9692 | val=0.9184 | best=0.9184 | ES=0/10
[2025-12-15 23:45:57]   Epoch 011/10000000000000000000 | train=0.9634 | val=0.9291 | best=0.9184 | ES=1/10
[2025-12-15 23:46:57]   Epoch 012/10000000000000000000 | train=0.9662 | val=0.9302 | best=0.9184 | ES=2/10
[2025-12-15 23:47:59]   Epoch 013/10000000000000000000 | train=0.9727 | val=0.9290 | best=0.9184 | ES=3/10
[2025-12-15 23:48:57]   Epoch 014/10000000000000000000 | train=0.9713 | val=0.9449 | best=0.9184 | ES=4/10
[2025-12-15 23:49:56]   Epoch 015/10000000000000000000 | train=0.9689 | val=0.9385 | best=0.9184 | ES=5/10
[2025-12-15 23:50:47]   Epoch 016/10000000000000000000 | train=0.9677 | val=0.9867 | best=0.9184 | ES=6/10
